season,team,W_PCT,NET_RATING,PLUS_MINUS,E_NET_RATING,PIE,E_OFF_RATING,PTS,OFF_RATING,TS_PCT,E_DEF_RATING
2010-11,Minnesota Timberwolves,0.207,-6.7,-6.8,-7.2,0.443,101.1,103.2,103.2,0.526,108.3
2010-11,New Jersey Nets,0.293,-6.8,-6.8,-6.9,0.452,100.2,102.1,102.1,0.517,107.0
2010-11,New Orleans Hornets,0.561,1.0,1.0,1.4,0.507,103.8,105.4,105.4,0.537,102.5
2010-11,New Orleans Pelicans,0.561,1.0,1.0,1.4,0.507,103.8,105.4,105.4,0.537,102.5
2010-11,New York Knicks,0.512,1.0,0.8,1.4,0.504,108.3,109.9,109.9,0.561,106.9
2010-11,Oklahoma City Thunder,0.671,3.9,4.0,4.5,0.529,108.6,109.9,109.9,0.561,104.0
2010-11,Orlando Magic,0.634,5.6,5.9,6.6,0.534,105.7,107.4,107.4,0.554,99.1
2010-11,Philadelphia 76ers,0.5,1.5,1.6,1.5,0.51,104.0,105.3,105.3,0.535,102.5
2010-11,Phoenix Suns,0.488,-0.8,-0.9,-0.4,0.494,107.0,108.6,108.6,0.559,107.4
2010-11,Portland Trail Blazers,0.585,1.6,1.7,1.4,0.516,105.6,107.3,107.3,0.533,104.2
2010-11,Sacramento Kings,0.293,-5.5,-5.5,-5.7,0.462,100.6,102.9,102.9,0.519,106.3
2010-11,San Antonio Spurs,0.744,6.1,6.1,6.6,0.538,109.4,110.5,110.5,0.567,102.8
2010-11,Toronto Raptors,0.268,-6.5,-6.7,-6.7,0.459,103.3,105.2,105.2,0.533,110.0
2010-11,Utah Jazz,0.476,-1.8,-2.0,-2.4,0.5,104.9,107.0,107.0,0.544,107.3
2010-11,Washington Wizards,0.28,-7.8,-7.7,-7.6,0.445,99.6,101.3,101.3,0.513,107.2
2011-12,Atlanta Hawks,0.606,3.8,3.7,3.8,0.526,102.4,104.2,104.2,0.535,98.6
2011-12,Boston Celtics,0.591,2.6,2.7,3.4,0.535,98.9,100.1,100.1,0.535,95.5
2011-12,Brooklyn Nets,0.333,-6.3,-6.5,-7.2,0.448,99.7,101.8,101.8,0.516,106.9
2011-12,Charlotte Hornets,0.106,-15.0,-15.1,-15.5,0.411,92.3,94.4,94.4,0.483,107.8
2011-12,Charlotte Bobcats,0.106,-15.0,-15.1,-15.5,0.411,92.3,94.4,94.4,0.483,107.8
2011-12,Chicago Bulls,0.758,8.8,9.0,9.3,0.561,104.5,106.3,106.3,0.523,95.3
2011-12,Cleveland Cavaliers,0.318,-7.6,-7.7,-7.9,0.439,98.1,100.0,100.0,0.505,106.0
2011-12,Dallas Mavericks,0.545,1.1,1.0,1.3,0.51,101.0,102.1,102.1,0.527,99.7
2011-12,Denver Nuggets,0.576,3.2,3.0,3.1,0.527,106.5,108.3,108.3,0.556,103.4
